Name,Ratio,Time,Size,Parameters,Type
FPC,1.2492545405258877,390400,8192,-,C
FPC,1.2492545405258877,257200,8192,-,D
FPC,1.256064322703734,384800,8192,-,C
FPC,1.256064322703734,267800,8192,-,D
FPC,1.2529907558455682,396100,8192,-,C
FPC,1.2529907558455682,267600,8192,-,D
FPC,1.2504409171075839,434300,8192,-,C
FPC,1.2504409171075839,324800,8192,-,D
FPC,1.2507802958338987,424700,8192,-,C
FPC,1.2507802958338987,321200,8192,-,D
FPC,1.257606767635421,2612700,8192,-,C
FPC,1.257606767635421,327200,8192,-,D
FPC,1.2558931734568741,640100,8192,-,C
FPC,1.2558931734568741,334900,8192,-,D
FPC,1.2676385641589878,609100,8192,-,C
FPC,1.2676385641589878,430400,8192,-,D
FPC,1.298717768071016,384900,8192,-,C
FPC,1.298717768071016,359300,8192,-,D
FPC,1.2930695847362514,387700,8192,-,C
FPC,1.2930695847362514,297900,8192,-,D
FPC,1.3057090239410682,447400,8192,-,C
FPC,1.3057090239410682,293700,8192,-,D
FPC,1.2927068723702664,516600,8192,-,C
FPC,1.2927068723702664,292300,8192,-,D
FPC,1.2976207236378994,2569300,8192,-,C
FPC,1.2976207236378994,329700,8192,-,D
FPC,1.2914389799635702,564800,8192,-,C
FPC,1.2914389799635702,321600,8192,-,D
FPC,1.2856744315804156,594200,8192,-,C
FPC,1.2856744315804156,338300,8192,-,D
FPC,1.2990838618745595,4570900,8192,-,C
FPC,1.2990838618745595,268000,8192,-,D
FPC,1.2428532901833873,428500,8192,-,C
FPC,1.2428532901833873,273300,8192,-,D
FPC,1.2460456942003515,396900,8192,-,C
FPC,1.2460456942003515,291900,8192,-,D
FPC,1.2569207691258693,405900,8192,-,C
FPC,1.2569207691258693,285900,8192,-,D
FPC,1.2632949561403508,2193300,8192,-,C
FPC,1.2632949561403508,266100,8192,-,D
FPC,1.2727147196906932,401200,8192,-,C
FPC,1.2727147196906932,256000,8192,-,D
FPC,1.2545256567306384,391000,8192,-,C
FPC,1.2545256567306384,284200,8192,-,D
FPC,1.2391771981715516,398300,8192,-,C
FPC,1.2391771981715516,371900,8192,-,D
FPC,1.2558931734568741,578000,8192,-,C
FPC,1.2558931734568741,363200,8192,-,D
FPC,1.2582935153583619,399900,8192,-,C
FPC,1.2582935153583619,308800,8192,-,D
FPC,1.2526501766784452,472200,8192,-,C
FPC,1.2526501766784452,251700,8192,-,D
FPC,1.2812065610230747,390500,8192,-,C
FPC,1.2812065610230747,240800,8192,-,D
FPC,1.244195464362851,1802900,8192,-,C
FPC,1.244195464362851,233700,8192,-,D
FPC,1.2467198701474367,398400,8192,-,C
FPC,1.2467198701474367,273200,8192,-,D
FPC,1.2468885281385282,522100,8192,-,C
FPC,1.2468885281385282,275200,8192,-,D
FPC,1.2446995273463877,398600,8192,-,C
FPC,1.2446995273463877,366700,8192,-,D
FPC,1.2610480229853605,607200,8192,-,C
FPC,1.2610480229853605,364100,8192,-,D
FPC,1.2660714285714285,574500,8192,-,C
FPC,1.2660714285714285,340400,8192,-,D
FPC,1.2817410652204144,621500,8192,-,C
FPC,1.2817410652204144,526500,8192,-,D
FPC,1.2952501405283867,2112500,8192,-,C
FPC,1.2952501405283867,336400,8192,-,D
FPC,1.2854951185495118,578200,8192,-,C
FPC,1.2854951185495118,318400,8192,-,D
FPC,2.2887187247863046,3181770300,134217728,-,C
FPC,2.2887187247863046,1303860000,134217728,-,D
FPC,2.0298863177210222,3399499400,134217728,-,C
FPC,2.0298863177210222,1509889500,134217728,-,D
FPC,1.9843718650228175,3478441900,134217728,-,C
FPC,1.9843718650228175,1317929300,134217728,-,D
FPC,1.7953344496644847,3699813400,134217728,-,C
FPC,1.7953344496644847,1311556800,134217728,-,D
FPC,1.2390484843392222,83647800,2097152,-,C
FPC,1.2390484843392222,26357900,2097152,-,D
FPC,1.2598250243763343,89082400,2097152,-,C
FPC,1.2598250243763343,26440200,2097152,-,D
FPC,1.263443212458263,92805200,2097152,-,C
FPC,1.263443212458263,27305900,2097152,-,D
FPC,1.2694090485257823,93070000,2097152,-,C
FPC,1.2694090485257823,31061700,2097152,-,D
FPC,1.2531082094546506,100121600,2097152,-,C
FPC,1.2531082094546506,35444700,2097152,-,D
FPC,1.2574949845111472,99534500,2097152,-,C
FPC,1.2574949845111472,29921800,2097152,-,D
FPC,1.2626379013414708,97776300,2097152,-,C
FPC,1.2626379013414708,28728600,2097152,-,D
FPC,1.2737362094516713,88653800,2097152,-,C
FPC,1.2737362094516713,25255500,2097152,-,D
FPC,1.2671244353976787,82800500,2097152,-,C
FPC,1.2671244353976787,33623100,2097152,-,D
FPC,1.2567909573581202,82634700,2097152,-,C
FPC,1.2567909573581202,22899200,2097152,-,D
FPC,2.108908413029429,55498700,2097152,-,C
FPC,2.108908413029429,27608000,2097152,-,D
FPC,1.262944758609319,79696200,2097152,-,C
FPC,1.262944758609319,22403000,2097152,-,D
FPC,1.2581984588875812,77600300,2097152,-,C
FPC,1.2581984588875812,31296000,2097152,-,D
FPC,1.2552109435933778,77883400,2097152,-,C
FPC,1.2552109435933778,22142600,2097152,-,D
FPC,1.2537947893555115,76213900,2097152,-,C
FPC,1.2537947893555115,30303600,2097152,-,D
FPC,1.2558089153870189,78413600,2097152,-,C
FPC,1.2558089153870189,22173800,2097152,-,D
FPC,1.2652265242612442,74849400,2097152,-,C
FPC,1.2652265242612442,30096300,2097152,-,D
